well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/SM+P,corrP/STD
74,SOCS2A-478-RP3573-14,G2,Cc1cc(-c2cc3ccccc3n2C)n[nH]1,Cc1cc(-c2cc3ccccc3n2C)n[nH]1,0,0,17.24,355263.0,0,0,82.76,1705348.0,0,1.0,0,1.0,0,1.0,0
75,No Data.,G3,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
76,No Data.,G4,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
77,No Data.,G5,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
78,No Data.,G6,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
79,No Data.,G7,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
80,No Data.,G8,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
81,No Data.,G9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
82,No Data.,G10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
83,No Data.,G11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
84,No Data.,G12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
85,SOCS2A-478-RP3573-7,H1,Cc1cc(-c2ccc(Cl)cc2C)n[nH]1,Cc1cc(-c2ccc(Cl)cc2C)n[nH]1,0,0,45.38,1291105.0,0,0,54.62,1553944.0,0,1.0,0,1.0,0,1.0,0
86,SOCS2A-478-RP3573-15,H2,Cc1cc(-c2cn[nH]c2)n[nH]1,Cc1cc(-c2cn[nH]c2)n[nH]1,0,0,0.0,0.0,0,0,100.0,1128372.0,0,0.0,0,0.0,0,0.0,0
87,No Data.,H3,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
88,No Data.,H4,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
89,No Data.,H5,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
90,No Data.,H6,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
91,No Data.,H7,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
92,No Data.,H8,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
93,No Data.,H9,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
94,No Data.,H10,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
95,No Data.,H11,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
96,No Data.,H12,,,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
