well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,phenol bparea,phenol bpareaAbs,corrphenol bparea,phenol bp/STD,corrphenol bp/STD,corrP/SM+P,corrP/STD
31,SAW2140-6-C7-A1,C7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,7.78,283989.0625,3.83,139796.1094,0,0,0.0,0.11033895901290597,0.16430716430716433,1.0,2.03,0.0,0.0,0.0,0.0,0.0,1.0,0.09472701819878673
32,SAW2140-6-C8-A1,C8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,2.24,90372.2188,3.77,152268.2656,0,0,0.0,0.031768543469011486,0.16173316173316174,1.0,0.59,0.0,0.0,0.0,0.0,0.0,1.0,0.02753149790013999
33,SAW2140-6-C9-A1,C9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,9.87,339723.4375,4.83,166183.3438,0,0,0.0,0.13998014466033185,0.20720720720720723,1.0,2.04,0.0,0.0,0.0,0.0,0.0,1.0,0.09519365375641624
34,SAW2140-6-C10-A1,C10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,61.89,1742499.5,7.82,220311.7969,4.66,131090.1406,0,0,1.0,0.11090625443199546,0.19991419991419992,0.11,1.68,0.0,0.0,0.0,0.0,0.0,0.11,0.07839477368175454
35,SAW2140-6-C11-A1,C11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,5.02,170581.5313,4.56,154812.9844,0,0,0.0,0.07119557509573109,0.1956241956241956,1.0,1.1,0.0,0.0,0.0,0.0,0.0,1.0,0.051329911339244055
36,SAW2140-6-C12-A1,C12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,39.06,1367315.25,4.0,140157.875,0,0,0.0,0.5539639767408878,0.1716001716001716,1.0,9.76,0.0,0.0,0.0,0.0,0.0,1.0,0.4554363042463836
37,SAW2140-6-D1-A1,D1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,32.44,963970.25,13.81,410360.9688,4.24,126069.3594,0,0,0.5241557602197446,0.19585874344064672,0.18189618189618192,0.3,3.26,0.0,0.0,0.0,0.0,0.0,0.3,0.15212319178721417
38,SAW2140-6-D2-A1,D2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.92,26729.0059,4.14,119728.3203,0,0,0.0,0.013047794639058289,0.1776061776061776,1.0,0.22,0.0,0.0,0.0,0.0,0.0,1.0,0.01026598226784881
39,SAW2140-6-D3-A1,D3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,65.38,2115646.75,3.79,122722.2656,0,0,0.0,0.9272443625017727,0.1625911625911626,1.0,17.24,0.0,0.0,0.0,0.0,0.0,1.0,0.8044797013532431
40,SAW2140-6-D4-A1,D4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,42.41,1112584.375,36.1,946945.375,4.7,123221.6719,0,0,0.6852480206818549,0.5119841157282655,0.20163020163020165,0.46,7.68,0.0,0.0,0.0,0.0,0.0,0.46,0.3583761082594494
41,SAW2140-6-D5-A1,D5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,28.51,754545.125,1.32,34971.3789,4.12,108954.5313,0,0,0.46065600258523187,0.0187207488299532,0.17674817674817675,0.04,0.32,0.0,0.0,0.0,0.0,0.0,0.04,0.014932337844143724
42,SAW2140-6-D6-A1,D6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,70.51,2559771.5,3.29,119473.0938,0,0,0.0,1.0,0.14114114114114115,1.0,21.43,0.0,0.0,0.0,0.0,0.0,1.0,1.0
43,SAW2140-6-D7-A1,D7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,0.9,32845.7461,3.88,141127.5469,0,0,0.0,0.012764146929513543,0.16645216645216646,1.0,0.23,0.0,0.0,0.0,0.0,0.0,1.0,0.010732617825478302
44,SAW2140-6-D8-A1,D8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,49.63,1510448.25,4.37,133063.875,0,0,0.0,0.7038717912352858,0.18747318747318747,1.0,11.35,1.3,39710.7305,0.05114083398898505,0.3,0.0,1.0,0.5296313579094727
45,SAW2140-6-D9-A1,D9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,4.96,163229.0625,4.65,152896.5469,0,0,0.0,0.07034463196709687,0.19948519948519952,1.0,1.07,0.0,0.0,0.0,0.0,0.07263922518159806,1.0,0.04993000466635558
46,SAW2140-6-D10-A1,D10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,27.48,188194.3594,12.98,88851.3828,23.31,159611.625,0,0,0.4440135724672807,0.18408736349453977,1.0,0.32,0.56,0.0,0.0,0.0,0.0,0.0,0.32,0.02613159122725152
47,SAW2140-6-D11-A1,D11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,9.28,269715.5625,4.69,136416.1719,0,0,0.0,0.13161253722876187,0.20120120120120122,1.0,1.98,0.0,0.0,0.0,0.0,0.0,1.0,0.09239384041063929
48,SAW2140-6-D12-A1,D12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,OCc1coc(-c2cnc3ccccc3c2)n1,0.0,0.0,44.35,1594494.75,3.79,136251.0,0,0,0.0,0.628988795915473,0.1625911625911626,1.0,11.7,0.0,0.0,0.0,0.0,0.0,1.0,0.5459636024265049
49,No Data.,E1,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,No Data.,E2,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,No Data.,E3,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,No Data.,E4,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,No Data.,E5,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,No Data.,E6,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,No Data.,E7,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,No Data.,E8,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,No Data.,E9,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,No Data.,E10,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,No Data.,E11,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,No Data.,E12,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,No Data.,F1,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,No Data.,F2,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,No Data.,F3,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,No Data.,F4,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,No Data.,F5,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,No Data.,F6,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,No Data.,F7,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,No Data.,F8,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,No Data.,F9,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
